Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
39;The Magnificent Seven;Action,Adventure,Western;Antoine Fuqua;Denzel Washington, Chris Pratt, Ethan Hawke,Vincent D'Onofrio;2016;132;6.9;122853;93.38;54
140;Brimstone;Mystery,Thriller,Western;Martin Koolhoven;Dakota Fanning, Guy Pearce, Kit Harington,Carice van Houten;2016;148;7.1;13004;0;44
145;Django Unchained;Drama,Western;Quentin Tarantino;Jamie Foxx, Christoph Waltz, Leonardo DiCaprio,Kerry Washington;2012;165;8.4;1039115;162.8;81
643;The Ridiculous 6;Comedy,Western;Frank Coraci;Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner;2015;119;4.8;31149;0;18
744;True Grit;Adventure,Drama,Western;Ethan Coen;Jeff Bridges, Matt Damon, Hailee Steinfeld,Josh Brolin;2010;110;7.6;254904;171.03;80
746;A Million Ways to Die in the West;Comedy,Romance,Western;Seth MacFarlane;Seth MacFarlane, Charlize Theron, Liam Neeson,Amanda Seyfried;2014;116;6.1;144779;42.62;44
970;The Lone Ranger;Action,Adventure,Western;Gore Verbinski;Johnny Depp, Armie Hammer, William Fichtner,Tom Wilkinson;2013;150;6.5;190855;89.29;37
