Rank;Title;Genre;Director;Actors;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
129;Mamma Mia!;Comedy,Family,Musical;Phyllida Lloyd;Meryl Streep, Pierce Brosnan, Amanda Seyfried,Stellan Skarsgård;2008;108;6.4;153481;143.7;51
246;Les Misérables;Drama,Musical,Romance;Tom Hooper;Hugh Jackman, Russell Crowe, Anne Hathaway,Amanda Seyfried;2012;158;7.6;257426;148.78;63
651;Sweeney Todd: The Demon Barber of Fleet Street;Drama,Horror,Musical;Tim Burton;Johnny Depp, Helena Bonham Carter, Alan Rickman,Timothy Spall;2007;116;7.4;296289;52.88;83
973;Rock of Ages;Comedy,Drama,Musical;Adam Shankman;Julianne Hough, Diego Boneta, Tom Cruise, Alec Baldwin;2012;123;5.9;64513;38.51;47
983;Across the Universe;Drama,Fantasy,Musical;Julie Taymor;Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs;2007;133;7.4;95172;24.34;56
